Odorscenes,activ 0,activ 1,activ 2,activ 3,activ 4,activ 5,activ 6,activ 7,activ 8,activ 9,activ 10,activ 11,activ 12,activ 13,activ 14,activ 15,activ 16,activ 17,activ 18,activ 19,activ 20,activ 21,activ 22,activ 23,activ 24,activ 25,activ 26,activ 27,activ 28,activ 29,occ 0,occ 1,occ 2,occ 3,occ 4,occ 5,occ 6,occ 7,occ 8,occ 9,occ 10,occ 11,occ 12,occ 13,occ 14,occ 15,occ 16,occ 17,occ 18,occ 19,occ 20,occ 21,occ 22,occ 23,occ 24,occ 25,occ 26,occ 27,occ 28,occ 29,odoAmt 0,odoAmt 1,odoAmt 2,odoAmt 3,odoAmt 4,odoAmt 5,odoAmt 6,odoAmt 7,odoAmt 8,odoAmt 9,odoAmt 10,odoAmt 11,odoAmt 12,odoAmt 13,odoAmt 14,odoAmt 15,odoAmt 16,odoAmt 17,odoAmt 18,odoAmt 19,odoAmt 20,odoAmt 21,odoAmt 22,odoAmt 23,odoAmt 24,odoAmt 25,odoAmt 26,odoAmt 27,odoAmt 28,odoAmt 29
Odorscene1,8.573953956145872e-06,2.8184385309872994e-07,7.992442822503788e-19,0.04335230089282181,2.6729565024834217e-10,0.0004328100336480515,0.12123961697520289,8.330904775796334e-17,1.4560929570381885e-13,1.0455232333668564e-13,5.3086845010033686e-05,8.096131399614776e-21,2.2905727537749846e-17,4.395971491664405e-18,1.3821997112388692e-10,8.447845463364883e-06,0.0008581384424243235,1.0865607705964447e-13,2.3429062970251405e-22,6.797225639357865e-17,2.259411626684641e-13,0.08984912169405851,8.960961530134147e-18,4.086792031445253e-22,1.6508106536186808e-12,5.756217504314999e-08,1.334941431571716e-08,1.648181583164337e-14,4.644489661736085e-12,0.0099002519429805,0.0001586689619586019,5.667870002260553e-05,1.0193157029673996e-10,0.12437889257576594,1.4038707238201062e-06,0.002241523126287739,0.159318838052457,1.0586371091673269e-10,1.0590210386199492e-08,8.943613407408764e-09,0.001569810799650089,1.0499012366021296e-10,1.0824770465741543e-10,1.2667300835061427e-10,2.6438196607380037e-08,4.315559919403448e-05,0.003333269045605503,1.1419911228233433e-07,1.0060192163857135e-10,1.8315581891465786e-09,1.2547403024788375e-07,0.1916143811137985,3.509858335015946e-10,1.114173109417513e-10,1.4275037976212443e-09,5.629976309726665e-07,9.301621563476819e-07,2.970169900532206e-10,5.8141856833375745e-08,0.030296562001835965,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
Odorscene2,8.386560126404493e-08,1.0466786241660648e-13,0.007214468750947809,8.829430012680942e-17,1.523609075836569e-07,2.535572292332628e-13,5.296178207699579e-17,1.6130751900881841e-09,1.5216438717830273e-06,2.659281792787164e-14,1.1197219394918406e-05,5.287483915865778e-16,0.3945129808227903,1.5522722002137475e-12,7.078235972319594e-17,3.915791069526397e-09,1.7392269743552457e-07,5.891967435278022e-12,0.00028748062993497924,4.51229572960934e-16,0.4770999180954394,1.427984282014254e-14,4.633235565085566e-10,0.3943873136758553,0.0008288590113766258,4.0782997275489624e-13,0.008566162751704598,4.6175813968710115e-10,0.08320567172251994,0.0015000208491483078,7.963845920115273e-07,3.930283897001465e-10,0.016863399312589667,8.748252614087463e-09,1.2203257271072757e-06,2.3116915096681213e-09,5.734598480580724e-10,6.685728774203487e-06,0.00022597027546049657,4.897312302743544e-10,7.468507075463976e-05,2.354334559779724e-10,0.45559597420818243,8.838819574721448e-09,2.8320602424926904e-10,4.644976146432869e-06,7.1068953672223355e-06,1.3140604992103945e-08,0.0010921650870948283,2.8640652768931717e-10,0.4828326051223451,3.4194469543900666e-10,1.1437867223560161e-07,0.4423996738865152,0.0019071925918017006,9.275988204667703e-10,0.04545308931635329,5.7174059902794035e-08,0.1684618317978348,0.009414034464450523,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0
Odorscene3,1.3383507832522322e-09,9.11145997946576e-15,3.364814465433092e-10,2.4134188358790953e-05,0.0005901422930128411,3.241368087154972e-12,4.748473190234429e-13,0.14668534746854237,8.71687226219961e-08,0.0032441196039336316,4.2371146311534545e-12,1.2727738788458876e-07,1.0037530037375112e-15,8.524260440018429e-10,3.4650307541940616e-12,0.009516576743202351,0.06681649747716231,1.895453797333259e-07,3.596653600748817e-14,3.0973406440124353e-06,1.974653025015238e-08,0.04638637918482788,2.1837670661570542e-17,2.0003227473298612e-08,1.1391225597411817e-09,9.924767220561007e-14,4.033795582760823e-10,1.5732473071797096e-15,1.8880224114061525e-09,1.6481218978353977e-05,3.3479517629940693e-08,6.179948534602159e-09,2.374210707648121e-08,0.00022439788226346103,0.002548631042013655,2.523839249531829e-08,1.1442166049015954e-08,0.24586424602995713,5.9917229319725904e-05,0.025404276125708534,1.2181392515303603e-08,6.965499762879044e-05,5.684112956800153e-10,1.4954360916019774e-07,3.218711314369681e-09,0.03837828495610271,0.08759553793550305,9.036356753520255e-05,4.439439656947585e-09,2.074471319043202e-05,9.609831844028995e-07,0.10169633408810813,3.598855189817236e-10,2.4735976375536593e-07,5.0129550942112585e-06,1.4539846472463968e-09,1.0243414311552081e-06,1.0565351461999565e-09,5.211129309517938e-06,7.791468310570743e-05,3.0,0.0,0.0,2.0,0.0,0.0,3.0,2.0,3.0,1.0,3.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0
Odorscene4,3.6987346488406075e-06,0.00014600832172584197,0.00015547994144401967,2.989329165970189e-05,1.1153162535059709e-10,2.6071779660068194e-09,0.21400679202268097,4.907134671139267e-12,6.982231121494657e-08,0.04198088008598768,0.34121554464502407,5.690974735390601e-16,2.2555605432850704e-06,2.02074841137585e-06,8.027330500265208e-11,0.00018547815372994033,9.493627658244258e-10,0.004934023926724978,1.980961281172732e-05,0.029462712101669297,1.225354605191378e-09,2.8540119617777107e-05,7.203363228804151e-12,2.4924485139833492e-09,0.0010140186934213438,3.4396774225234326e-05,0.00030265415921680247,3.9158058168394475e-13,0.012662890168986307,3.345209730940076e-09,0.00035193636494560966,0.0004182093403764919,0.004026792787556346,0.0001616620399393184,3.2370861652044856e-08,2.0433438377440858e-07,0.26687830765731896,2.1987556915340726e-09,2.984883054805302e-06,0.06044297842278091,0.3893054543559206,5.027271054109642e-10,1.2104249450092587e-05,2.4049125170079105e-05,8.957205587475056e-08,0.0033084321428964313,5.895786543311772e-06,0.02804977479297513,0.000160744000742758,0.06382697452256321,2.233777704593709e-07,0.0013577614618165697,3.417151788381417e-09,3.079861126729871e-06,0.012367556638669147,0.0015892305296595322,0.00176874183001908,3.231106472525442e-08,0.019961529488881115,2.5322655132444187e-07,3.0,1.0,0.0,2.0,1.0,1.0,4.0,2.0,1.0,3.0,1.0,0.0,2.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0
Odorscene5,6.0485358058894674e-09,0.00015865326858592555,0.4418522754034342,0.05029508827147011,0.003819681908410105,5.529616807108687e-09,3.6632803905532666e-06,0.007585534133790586,2.757544025985213e-06,6.724490861953503e-05,0.03688565955792992,0.05869426544122114,5.068586604618062e-12,0.12440702995847197,0.317053869299717,0.015789332632202075,2.3881986349687808e-11,0.0002893520391540438,4.9761472862517375e-11,3.4634300098489312e-06,0.40345687781170236,0.00013652377402097963,1.9180811150479166e-15,0.014958733223970786,8.795916783201219e-08,0.0005656883787735711,8.778339143356693e-13,0.0026818618753627443,0.0028903345703500147,1.908703057104761e-10,3.2031370644872855e-07,0.0029006837071356762,0.46336786007409686,0.06840581626850684,0.022094799594228727,7.30573631178509e-07,0.00044473407093103705,0.04201061529975832,1.3522871217442542e-05,0.0016897882060316724,0.06539018465270123,0.1516718857712933,2.823137509582078e-08,0.2886057076208456,0.40594329349542535,0.04936894237139419,1.810679763804933e-07,0.0006994803089874001,3.5052759902502616e-08,9.717932290880245e-05,0.4455948017540551,0.003660192560157005,2.0611103792370514e-09,0.06479767344572851,3.1581636981647737e-06,0.00251940421313702,1.271293730533845e-07,0.01311744574354429,0.01698072080925508,2.093719803313994e-06,2.0,1.0,2.0,2.0,2.0,2.0,5.0,2.0,0.0,3.0,0.0,1.0,2.0,2.0,4.0,1.0,0.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0
Odorscene6,0.3319613466694231,0.46368856535450126,1.123865861612125e-08,0.3304742750111024,0.20075594116610984,1.5004610093912848e-10,1.9442861842537354e-05,0.027621812917400117,7.327104865373791e-06,0.0005419187443644402,0.4938205777394434,0.0008747832207341638,7.027871717480817e-09,9.214886850902726e-13,0.2625728557152177,0.0066245835018562465,0.0004985018691265256,1.940127269417851e-06,0.0002951363221307548,3.9475737024947844e-05,0.10037537893801171,4.135130651659865e-06,8.053122669523028e-06,2.7361827433642177e-09,1.1931298717775106e-08,0.09794496393224902,0.0067956552363806115,2.677456896867166e-08,0.00013082636659257757,0.0002478937407148128,0.4129555541389925,0.46997409544020097,1.424583823819788e-05,0.40349619990328384,0.2555944516511944,2.163579871301314e-06,0.00031852030952949435,0.10467115874458541,0.0007337542260801737,0.0084943480783043,0.4948783108307494,0.005579595676846553,2.664431046877859e-07,7.454032334786482e-09,0.29795545960203623,0.019437695625692916,0.0013525088794271026,2.793864471151806e-05,0.0009723731560842369,0.00017513369577993378,0.12558567311690838,0.00022478697728838066,0.0001696018899223168,7.691876256426212e-06,5.446119502352264e-06,0.1207861737682405,0.03124401149634081,3.2404342304942977e-06,0.000519180528532821,0.0010371459490604964,5.0,0.0,1.0,3.0,1.0,0.0,4.0,3.0,2.0,2.0,5.0,1.0,3.0,2.0,6.0,0.0,5.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,6.0,0.0,1.0,6.0,6.0,5.0
Odorscene7,0.01301845489085382,4.499537719586772e-06,0.1224507106332594,0.00011038866729653133,0.07749075412219625,0.004041385783948981,0.0022521264365694535,0.005906298436172974,0.2470155362888723,7.393139986130272e-06,0.010640806258063816,1.6088341153087638e-05,3.87613133570794e-06,0.0005377117176937675,0.27445684281873284,0.014026015173823467,0.25256264102480597,0.443165974013539,0.029850296367746488,7.466642217960292e-07,0.03916305917228907,9.59316659378891e-07,0.0024827969495566766,2.40731166284132e-13,0.17668598258511856,0.02015208900599734,5.160402685700646e-08,0.0339676779583863,0.015383584092400631,1.3806658815367253e-07,0.026425279183878894,0.0001083826925148631,0.23096813111476777,0.003213749537998845,0.18845474284087538,0.025681415926885963,0.01974953245750286,0.021003147837017823,0.30774389360408344,0.0003764132931076165,0.0172465811284566,0.00046403757361174663,4.599599292814206e-05,0.001700132038134313,0.38281056014400994,0.0784651835573667,0.3211221721242272,0.4915150651959255,0.096656349580199,4.598772703505084e-06,0.06312325218092672,1.8961941975008686e-05,0.004895779813515519,5.889999283388371e-09,0.3674641052158833,0.06208370363622608,1.0609551191512162e-06,0.04796860351569446,0.03518817569951714,1.9387149461679913e-05,5.0,2.0,3.0,3.0,1.0,2.0,10.0,4.0,1.0,7.0,3.0,6.0,3.0,6.0,9.0,0.0,7.0,6.0,7.0,5.0,6.0,6.0,6.0,0.0,7.0,3.0,1.0,8.0,5.0,6.0
Odorscene8,0.06354318825930855,0.46014259175595124,0.03084874206973382,0.0013112763547985181,7.0786976990347105e-06,0.4073361106377078,5.781099379016045e-06,0.052481634263806816,0.19813794986040068,0.3442167282976078,0.003713308734716819,0.4651974720780284,1.668280097091324e-08,0.4057464364690408,0.23449373016889768,0.00012031387010038775,0.0008458987920223521,0.4659252359836825,0.4829277927828281,0.03243152913464724,0.49242661230934953,0.024610818869486815,0.009665193582392779,0.0005993640962998905,0.1551338362596225,0.15631528310978154,9.186195346623995e-07,0.3825362579641781,2.5223697823016753e-05,0.0031321243975535136,0.09920135935131665,0.4779533924262748,0.08167201934232107,0.014468544515672085,0.0006622081012755945,0.5071654699710136,0.0002872183468800721,0.1394995739831209,0.23548875761963148,0.4132288193469633,0.027346435413135764,0.518875591217549,2.2471711601647003e-06,0.44268064184638933,0.3710018318549675,0.0024757060839070253,0.0027203065556061132,0.5027722530790106,0.4872533539199595,0.1038184345717688,0.49836506908018635,0.05948353708066605,0.033869912772714374,0.006635736309296249,0.19019733115894083,0.25478436402782706,7.267817777898663e-05,0.4009263924663822,0.0009740157897618996,0.006869936991222557,7.0,2.0,6.0,5.0,5.0,3.0,14.0,5.0,4.0,9.0,5.0,5.0,4.0,7.0,11.0,2.0,6.0,5.0,7.0,7.0,6.0,7.0,5.0,2.0,6.0,3.0,2.0,9.0,7.0,6.0
Odorscene9,0.00021263707223867075,0.0003229119442791868,0.011501167752411853,0.015187228465487845,0.02255685529214385,0.4615735652522301,0.002345286567397333,0.21803905039432242,0.002364347784700188,0.25651322385851955,0.13872722967389353,0.011826391986125987,0.0009447153022232855,0.00020432105061772,8.761635233766146e-05,0.04622230804892387,0.052638101795153124,0.16092828236908838,0.0002493522539468707,0.05270023352104093,0.335425265706069,0.430862687676345,0.09939835702838888,0.001120112287008795,0.013737147518338573,0.004671522566248304,0.25073929048508664,0.07199473992550771,0.2802866997705013,0.0032668107041035526,0.0006585736123417231,0.0025651337843440834,0.03642094365888223,0.06069691752672996,0.05965645436620108,0.48133040416255063,0.004705813531258368,0.2847724665872103,0.02022052025215194,0.3657230272054555,0.19906547482245737,0.044325504031332966,0.011787882319695839,0.000740044101684407,0.0010165481448338308,0.1204312678977989,0.14186703189903146,0.26315384119299584,0.004492412375474708,0.14382512021394622,0.39652764750360425,0.4709106228341995,0.19490158965236185,0.004852652506908626,0.03923615884333796,0.014057148114026793,0.32780712616792396,0.18478087235909232,0.3703302613337835,0.02758528878665248,10.0,3.0,3.0,8.0,0.0,8.0,19.0,12.0,4.0,13.0,6.0,8.0,9.0,5.0,18.0,6.0,12.0,13.0,7.0,11.0,10.0,6.0,10.0,4.0,14.0,5.0,4.0,16.0,10.0,12.0
Odorscene10,0.0011441931689372788,0.01651667038010277,0.4359753845420776,0.14380406105447058,0.004950205929845577,0.3489778961582602,0.0217274288748462,0.0739471166724769,0.0018273648725516919,0.04382681247144835,1.3588720859134675e-06,0.20096616149914856,0.3162234187230696,0.00045259791825152647,0.029431279520207937,0.22280052329995295,0.0017538248152137415,0.0235519641605024,0.011568750923589015,0.29105440819333317,0.08566055780412787,0.10825439772314345,0.5187116365077602,0.016035556268993525,5.537392656726617e-07,0.1075594061250015,0.004147075431244151,0.0005447881554228671,0.1643508800772448,0.023803287788720363,0.00823810119515117,0.04428382457230033,0.4681912880735025,0.2599239072289535,0.014401781870713259,0.49647857074048385,0.03521827950703139,0.17250234150294422,0.016660775109439054,0.09252345727031593,3.126212034716755e-05,0.32894986606889315,0.36200345564390146,0.005125259640252593,0.05193435339908718,0.32457079815142675,0.01921038206904561,0.10630646580679606,0.025007433997714792,0.375125924971104,0.18631181724162454,0.15016210203017022,0.5957712056265719,0.0516689384899076,0.00012127424235450359,0.18645316929279093,0.01416632897957791,0.008797988862606333,0.27899623428463355,0.0526879788725822,10.0,6.0,11.0,8.0,7.0,10.0,23.0,10.0,3.0,18.0,6.0,10.0,8.0,11.0,22.0,4.0,8.0,13.0,15.0,16.0,15.0,11.0,12.0,4.0,12.0,8.0,6.0,17.0,12.0,9.0
Odorscene11,0.557474122392835,0.09400259336267452,0.0056322971548370855,0.030931784036856112,0.014114865982772963,0.2836518706187178,0.3723514128835324,0.19360590740334602,0.0013746605435951248,0.22496576689307435,0.3294881671471869,0.22642424514483137,0.4617105287248494,0.5404262415725445,0.5705024004723258,0.47328226267528367,0.30693913018366786,0.000514466375488547,0.03265644351787735,0.01046633884744532,5.648073501159111e-05,0.013203871224960497,0.07088147894180022,0.5477236365434917,0.0010794617570311221,0.012767073028739723,0.007709528958191414,0.06405735368348854,0.47609313476886017,0.178193381909799,0.6238631937718028,0.12933695592347702,0.016871859671710836,0.047949626836294015,0.04648198372717417,0.4180041617203524,0.5222564728152369,0.3189813196267642,0.003534080506120357,0.32835273433772216,0.3519645225265584,0.393115312092936,0.4956684424488675,0.5811356516837111,0.668377304993099,0.6231667618193405,0.46375618690227927,0.007991597672403091,0.10472333495668572,0.0487847057750855,0.0007731583694760533,0.04576374863367377,0.18545368627476816,0.6868034371553536,0.008076270143241015,0.0483381732573789,0.04227123765832345,0.1521397588151558,0.4964780091067065,0.27437439282002396,15.0,7.0,6.0,9.0,3.0,13.0,29.0,15.0,3.0,19.0,7.0,12.0,9.0,8.0,25.0,10.0,10.0,18.0,13.0,16.0,19.0,9.0,18.0,9.0,12.0,14.0,9.0,21.0,14.0,10.0
Odorscene12,0.34915665838399107,0.003246550109804155,0.1209344349053442,0.04559736303280902,0.1947340396679292,0.22453487792636537,0.6378141795063077,0.07689943952822133,0.014836236414355932,0.007221447432898161,0.0938890715989608,0.47400616842979243,0.12352724899603398,0.024487257654892045,0.1593401453859634,0.06387445005454227,0.40472706956102467,7.45228219962959e-07,0.0022789340733482323,0.42312474600680866,0.4499065901453019,0.1944557706088418,0.14917352175567866,0.22672284377459562,0.060453394026897964,0.548089114750109,0.0015996427745974336,0.07633377057482323,0.18351878402605287,0.4434158445533816,0.4724215792148992,0.024266537285254033,0.2065545588411837,0.13904571289374104,0.2695602085323392,0.33056862424845107,0.67084788385841,0.16216835672470067,0.07184468609140274,0.022829870836009576,0.2256615847916095,0.5614631185251533,0.20215474342872364,0.07425285238951071,0.27124547342287,0.1552452278623208,0.5388327272746227,3.640606800775536e-05,0.008000132664798836,0.44783991141894497,0.6161107221225783,0.2687944279819887,0.3142785109501251,0.3144703742303197,0.14627301886492722,0.6942974776933304,0.0148873872524979,0.2015421136280753,0.36586244817392916,0.4713871228769672,14.0,9.0,10.0,8.0,6.0,11.0,31.0,13.0,5.0,20.0,10.0,13.0,9.0,14.0,28.0,7.0,16.0,18.0,21.0,18.0,18.0,16.0,18.0,5.0,18.0,11.0,7.0,24.0,14.0,15.0
Odorscene13,0.09885424450255088,0.6272300029547847,0.5480125754541497,0.1594987527987877,0.03974771044838728,0.3538634207679981,0.226622492211567,0.47101475583264285,1.578763705723662e-05,0.06053441561017517,0.2452265864460299,0.4960672091157568,0.0008915910716248761,0.095020706242032,0.3012381612646184,0.6149504708504752,0.01476664090558473,0.025611762269511392,0.4642258510913333,0.2176090732737009,0.24011491872578342,0.07133021885831702,0.45388801935622997,0.23031637380257733,0.36339938091012924,0.0045659208235602836,0.00726477162879284,0.5307980634088513,0.003059700427942705,0.17730328312565294,0.12176105355985174,0.681539528666242,0.5685307304097723,0.16827700111427946,0.04698756355743529,0.41017902102629195,0.2619704155928336,0.559864704706524,0.0002729399040942544,0.1276446505914952,0.33718309923077566,0.5099839764339323,0.00506603091783281,0.13001633112484645,0.39384241682433985,0.6398348285931749,0.02547931307726254,0.03107715661018167,0.5062976287735486,0.234305582592505,0.33994840131392245,0.15102330261430802,0.558444652736543,0.26249386684730464,0.39331219461359557,0.026294520958068408,0.009366031266173684,0.6016371019675572,0.003728207931968366,0.267866349311964,23.0,5.0,5.0,15.0,3.0,15.0,38.0,22.0,5.0,27.0,11.0,17.0,15.0,9.0,39.0,8.0,17.0,25.0,16.0,24.0,25.0,13.0,24.0,7.0,18.0,12.0,16.0,26.0,23.0,18.0
Odorscene14,0.560077991322959,0.059517930695109966,0.22668683785537821,0.2936457938358737,0.00845879079385599,0.5105329355316595,0.0035994682762855025,0.1358224846120703,0.036920752867664504,0.28991511673161646,0.38435020425442007,0.4180133215659122,0.28689534054027593,0.3862473578139428,0.4335058924960171,0.40647825003284005,0.05719266483070181,3.102912955403117e-07,0.0005460710934161782,0.0005967362361175148,0.2988085867277212,0.045410465812664245,0.07112851789571507,0.1077191450571177,0.1533217863530934,0.38927168863612555,0.27700095959251697,0.6356959064780063,0.36664990950890064,0.1844710344277814,0.5770245777974405,0.06786825133461065,0.23768443326156918,0.3016009367309851,0.009668121340645104,0.524411158413623,0.00427966357364136,0.14913773186957596,0.04305084419291773,0.2963672381828086,0.40691902604291,0.43592059194749266,0.31907907169654876,0.4099879590569838,0.4662559028915027,0.4246864168943701,0.06789480323509804,7.078487104269383e-07,0.000755466867739752,0.001006968089826345,0.3205034720979438,0.05253676110994681,0.08042712062620172,0.11897245559170015,0.169207426744381,0.40984570880869536,0.29338250915314745,0.6429676126555439,0.3759859744427532,0.19176953066443742,28.0,8.0,4.0,18.0,7.0,20.0,45.0,26.0,8.0,33.0,13.0,23.0,20.0,11.0,42.0,10.0,22.0,27.0,23.0,28.0,30.0,14.0,28.0,8.0,25.0,17.0,15.0,35.0,28.0,23.0
Odorscene15,0.0043281021402226585,0.30521726526808896,0.09885932250348244,0.2533414132132389,0.006282579799537445,0.05189108061235523,0.4292881709679894,0.3989176636597848,0.12526886039582963,0.07406458921467353,0.03348995733138202,0.2048026616789238,0.023312274354942382,0.6544218618858623,0.05577966942137674,0.008682456190822311,0.5979291043032122,0.18560897841328236,0.00015031111995317497,0.05540407942997765,0.13740265019543213,0.601347239577837,0.05144067943212914,0.0730756393149696,0.46431495589684957,0.5112768244453253,0.2904424924177394,0.05078803967619906,0.10960407803422983,0.05137240278563304,0.005302769156354566,0.3254858590387721,0.11274964936742211,0.2629811630598027,0.007695725172501222,0.05629247318351542,0.44875254711423,0.4163400189944608,0.14311620017420837,0.07910194371913826,0.03803719076798523,0.22014773842734736,0.02663931694802937,0.6558345129529646,0.06352954699032055,0.01024831565134345,0.6060539555207956,0.19959733745642405,0.0002135841830107117,0.061645693497700056,0.14779628869507797,0.610975947321916,0.058860395182237055,0.08622569317419537,0.48731953151156165,0.527735638657281,0.3000240647641589,0.060262433548624456,0.12193150993574195,0.06083366181187144,24.0,14.0,16.0,16.0,14.0,17.0,45.0,22.0,9.0,33.0,12.0,20.0,16.0,18.0,39.0,10.0,20.0,27.0,27.0,31.0,29.0,21.0,29.0,9.0,22.0,18.0,9.0,30.0,23.0,19.0
Odorscene16,0.39612303199043486,0.24973029650857198,0.23601020500519912,0.00017445715826324665,0.26967085164715116,0.47578079060581163,0.3493759857881383,0.04075858397885505,0.09189180088496181,0.2534935545713043,0.302038537541077,0.14413172801202598,0.47780037711136797,0.23411770386128417,0.49399968916189485,0.3942090809656345,0.28152324619650865,0.09243578085657345,0.029567408843810514,0.46571599969729993,0.19738520396286238,0.14457476075327033,0.39571289329995124,0.6011366632236276,0.015650470353680272,0.6615624043184382,0.41496125050938143,0.4000101638218933,0.39391826216382664,0.40515690090228096,0.4064480231636987,0.3389674085997597,0.2582517678827043,0.0002608333899972597,0.2809177887368585,0.47828681075309487,0.36718737072938284,0.04588283421380661,0.10564902764686279,0.274622512213638,0.3256142449148206,0.1588070278936724,0.5494781467562664,0.24813616375319636,0.5465616648825575,0.40026233158900104,0.297084518891885,0.10339794335985868,0.034954466915609016,0.6270714624443628,0.22096882124149095,0.18943731903459002,0.4009783538899521,0.6218814359039004,0.018376082787289194,0.6708389353678399,0.42812902282630483,0.4233116176950552,0.4158067066026454,0.4252672933081351,34.0,13.0,10.0,21.0,4.0,24.0,56.0,30.0,14.0,39.0,21.0,21.0,19.0,16.0,55.0,13.0,33.0,32.0,26.0,28.0,30.0,19.0,28.0,12.0,36.0,22.0,14.0,48.0,36.0,32.0
Odorscene17,0.0290384162431391,0.0009228249084031956,0.02853794862158256,0.0038256326478985298,0.19670714766462963,0.026060021308870873,0.011410858072257604,0.2490573591722352,0.14692100916449677,0.12907756038390372,0.020001037205460755,0.022300958669642493,0.30379494688424097,0.446959381126161,0.041808029421365724,0.3003989301270207,0.21598412243479034,0.013721035716186006,0.15542262355348357,0.05954491579606061,0.27702833199127797,0.06362434501328733,0.0645307131610318,0.4293908111046321,0.26968708364914956,0.021580659437734205,0.1960544704966909,0.0011106886578954422,0.18055728308706928,0.002451069697071208,0.21195679085098293,0.06512408010967208,0.1779855192449545,0.020935804547029962,0.41122080878764916,0.17294621574152957,0.048781113299359906,0.5861290132064525,0.4101140835214874,0.4035923429713667,0.17104484784636254,0.19584719167967823,0.46073767283601613,0.5905872344216619,0.328787472224945,0.41459400340025226,0.37226595368259424,0.07233253692252685,0.4691755899634074,0.227600473898598,0.4931991689609935,0.1305254971878179,0.3168966438292132,0.5257595708278666,0.4209925936290639,0.3138578478304451,0.39543067832834033,0.01484827640013579,0.3976477101238965,0.046562237068501024,36.0,18.0,19.0,26.0,14.0,23.0,68.0,32.0,14.0,46.0,17.0,28.0,24.0,26.0,60.0,8.0,28.0,36.0,35.0,39.0,40.0,29.0,38.0,8.0,35.0,20.0,17.0,51.0,37.0,29.0
Odorscene18,0.0005236644017799723,0.06503397018715494,0.18296234450613122,0.4047089666410432,0.014218204160388156,0.18891036250230894,0.027142576504136522,0.005405198764668323,0.025706060049591733,0.0003104600105246501,0.43704628601944456,0.23040177889842572,0.024600835882701413,0.08497557178936517,0.005125969677187581,0.6108309183840115,0.13240783333151723,0.3059330354647307,0.31920497338281995,0.023261476841485176,0.12041431054381309,0.3954701280867687,0.489637960753734,0.2118190234838285,0.01060349204800586,0.2915002643061154,0.5864925623219155,0.25783672120483,0.09159805254059315,0.39082831690905295,0.02171519446305943,0.17309368237404546,0.41342289377295977,0.4456973683749343,0.1415378330549837,0.396361179245194,0.14228989463664263,0.14568489702524798,0.11362147486195122,0.030699261024697146,0.5031363866023024,0.40375801903631403,0.20958217780204036,0.3949077791008694,0.10416836217141277,0.6657721985803133,0.36338956302234887,0.5430450017014002,0.5480085970889684,0.15441070338308244,0.2397297338253686,0.4907729801140619,0.5121212314043158,0.31309089233315796,0.1411200662028779,0.5202585301049125,0.7080224156017426,0.4908667374896612,0.3435706216632252,0.6215125225142656,44.0,20.0,15.0,29.0,12.0,32.0,79.0,40.0,17.0,51.0,25.0,25.0,27.0,23.0,70.0,19.0,37.0,42.0,37.0,41.0,41.0,25.0,41.0,19.0,46.0,29.0,19.0,54.0,41.0,35.0
